"County","Sector","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","Total Usage"
"LAKE","Residential","     282.724399","     295.650605","     282.515074","     276.406893","     285.517511","     302.440947","     302.247964","     298.350237","     294.508814","     289.335412","     284.677643","     275.057731","     269.067339","     259.079053","     256.934903","     243.787239","     244.755577","     237.521325","    4980.578666"
"LASSEN","Non-Residential","     274.285585","     283.515866","     322.717841","     268.742430","     301.549333","     293.209529","     278.335754","     274.140041","     254.630498","     285.805885","     157.543524","     149.038617","     184.401874","     184.685297","     189.128716","     162.227310","     159.274479","     161.797258","    4185.029837"
"LASSEN","Residential","     100.581763","     102.100052","      99.557021","      94.823925","      94.188136","     104.372640","     102.255359","     103.659073","     104.821915","     106.525141","     107.036253","     104.110912","     106.142579","     105.254849","     102.440584","      99.290481","      97.276737","      94.630059","    1829.067479"
"LOS ANGELES","Non-Residential","   47267.108138","   48089.687858","   48759.916535","   49692.361721","   49193.414622","   47746.272761","   48192.630289","   48139.854532","   48545.878367","   49370.754577","   50976.723153","   50727.100895","   50560.894766","   50281.715993","   49707.008004","   49458.881933","   49793.485273","   51530.937463","  888034.626880"
"LOS ANGELES","Residential","   20589.173111","   20711.258854","   20019.333492","   19998.149186","   20752.656423","   20620.155129","   21082.236292","   20069.358771","   19726.423728","   20594.680058","   21118.100890","   20537.017828","   20378.138002","   19711.894073","   19507.886690","   19056.852284","   17917.928809","   18212.698665","  360603.942285"
"MADERA","Non-Residential","    1216.997340","    1162.564266","    1188.879411","    1277.849730","    1238.300843","    1147.972250","    1099.580627","     971.557485","     969.799908","    1020.169297","    1008.883639","     963.521122","     790.018482","     769.200732","     816.721766","     732.581370","     792.924523","     781.519181","   17949.041972"
"MADERA","Residential","     433.728875","     439.969885","     421.339277","     421.333410","     425.870483","     429.739912","     430.573951","     415.392697","     408.542668","     415.226277","     411.179218","     408.064610","     399.850532","     381.311175","     373.243051","     361.715230","     336.194714","     324.827349","    7238.103314"
"MARIN","Non-Residential","     669.979444","     724.543372","     689.689438","     701.612393","     701.843583","     711.054694","     701.016599","     707.516974","     724.084848","     753.590865","     761.603010","     742.560372","     723.039457","     714.385071","     741.026030","     724.285949","     763.926389","     733.627606","   12989.386094"
"MARIN","Residential","     654.768352","     660.364610","     653.070849","     653.265528","     653.434023","     684.917198","     689.884273","     702.366977","     702.841080","     708.287373","     704.375373","     704.555416","     705.118701","     689.811537","     687.877894","     660.732058","     659.878708","     638.338756","   12213.888706"
"MARIPOSA","Non-Residential","      43.254395","      40.581794","      38.926120","      39.307825","      41.324392","      41.643963","      40.820775","      39.031094","      39.757618","      47.318097","      58.134492","      55.162354","      38.474396","      36.165623","      38.479444","      40.124197","      41.911909","      43.139677","     763.558165"
"MARIPOSA","Residential","      69.741343","      71.144581","      69.065553","      67.609430","      68.640691","      71.816597","      72.384377","      71.899028","      72.567127","      72.861885","      73.078004","      72.471608","      69.983501","      67.413264","      67.784376","      65.009402","      62.777007","      61.524207","    1247.771981"
"MENDOCINO","Non-Residential","     274.540827","     282.221848","     279.609640","     273.749144","     269.515387","     269.418120","     269.319601","     266.736656","     261.061170","     262.310492","     279.166031","     283.286790","     397.165962","     406.565017","     287.497035","     279.753300","     296.013661","     309.193050","    5247.123731"
"MENDOCINO","Residential","     291.939718","     305.907701","     300.893534","     294.172808","     295.433059","     324.654025","     333.350749","     337.505440","     340.030182","     340.437699","     338.778170","     331.108021","     314.159273","     295.527969","     285.009445","     265.381675","     264.181162","     256.306565","    5514.777195"
"MERCED","Non-Residential","    2840.360395","    3241.519671","    2769.552926","    2222.147168","    2307.423763","    2363.376237","    2604.448820","    2983.156777","    2739.747254","    2066.361868","    2056.047365","    3010.018533","    2154.070825","    2275.393874","    2470.246335","    2264.325693","    2388.289927","    2265.793743","   45022.281174"
"MERCED","Residential","     718.556595","     737.960161","     702.848973","     706.260171","     718.838588","     697.654027","     703.847811","     676.883289","     657.882252","     676.713937","     668.964374","     657.953164","     654.580690","     620.884598","     612.594310","     593.033773","     562.797184","     539.405968","   11907.659865"
"MODOC","Non-Residential","      91.214826","      92.909994","      95.052513","     110.235143","     114.232138","     107.906257","     106.391512","      87.847398","      93.720650","      97.662771","      97.814449","      87.753975","     101.258056","      95.925456","      95.225146","     112.642497","     106.295988","     108.410231","    1802.499000"
"MODOC","Residential","      57.040549","      59.283970","      56.581161","      54.069319","      53.422913","      61.008204","      57.447446","      61.363255","      60.279271","      61.354571","      63.026113","      58.710808","      59.044041","      57.577305","      56.453333","      56.767659","      55.363948","      53.733110","    1042.526976"
"MONO","Non-Residential","     110.729836","     109.241345","     107.246689","     111.482643","     103.900096","     105.545029","     103.224998","     109.001532","     106.848829","     108.674520","     107.159110","      87.818503","      91.089757","     100.751826","     102.595539","      75.240664","      59.018998","      50.321903","    1749.891817"
"MONO","Residential","      84.605138","      90.329409","      84.789601","      78.857738","      87.621735","      98.825775","      93.682820","      95.687219","      94.325758","      91.016854","      92.557170","      97.762652","      83.816991","      94.855351","      92.488524","      88.224525","      86.710240","      86.208509","    1622.366009"
"MONTEREY","Non-Residential","    1799.037518","    1902.386485","    1897.962615","    1989.350631","    1933.604818","    1911.217631","    1828.075467","    1842.787007","    1840.698041","    1873.223957","    1892.905365","    1848.173026","    1830.422439","    1840.715315","    1894.950076","    1892.444533","    1873.372052","    1812.827063","   33704.154039"
"MONTEREY","Residential","     688.945632","     684.941097","     688.808586","     684.295335","     687.104850","     724.630499","     730.595548","     733.889804","     733.819905","     730.734487","     731.049577","     741.440229","     728.511406","     715.499783","     724.979024","     707.434854","     693.574480","     684.048359","   12814.303455"
"NAPA","Non-Residential","     664.110562","     690.193164","     696.362524","     691.179277","     683.101937","     680.307068","     665.472111","     659.880150","     646.776211","     645.862836","     662.636468","     635.076077","     607.081417","     579.346775","     574.246732","     562.860885","     559.301911","     541.224467","   11445.020572"
"NAPA","Residential","     363.778808","     370.667312","     361.181776","     362.093099","     364.036103","     374.211795","     373.366690","     373.678414","     375.553895","     380.475078","     378.102685","     376.919394","     386.230107","     370.132206","     363.322856","     354.902745","     340.524576","     325.814043","    6594.991582"
"NEVADA","Non-Residential","     266.707092","     271.455549","     227.135919","     221.408570","     226.738695","     233.601706","     234.977409","     232.475677","     229.996087","     235.769141","     246.159393","     241.090907","     237.717998","     229.232288","     226.691147","     216.490542","     232.937164","     217.907853","    4228.493137"
"NEVADA","Residential","     450.235368","     471.825704","     433.918557","     406.458242","     408.017768","     423.537883","     426.439191","     426.577044","     425.466235","     424.500583","     421.317639","     413.988501","     411.611799","     397.552129","     398.262620","     378.588245","     379.075584","     363.307011","    7460.680103"
"ORANGE","Non-Residential","   13044.070989","   13303.152020","   13479.185717","   13799.566708","   13807.333656","   13571.280615","   13470.109271","   13337.298652","   13207.622878","   13769.463503","   14406.539691","   14262.600659","   14474.519887","   13972.309125","   13808.764412","   13330.655852","   12972.862093","   12067.009850","  244084.345578"
